"","M_HBV_unfiltered.logFC","M_HBV_unfiltered.gene_name","M_HBV_unfiltered.adj.P.Val","F_HBV_unfiltered.logFC","F_HBV_unfiltered.gene_name","F_HBV_unfiltered.adj.P.Val","residuals"
"1",3.2679777569862,"UBE2T",1.44990622170957e-46,3.93419866815079,"UBE2T",2.31028774586614e-22,0.186007433536343
"2",3.91479636281171,"CDKN3",2.969581027492e-45,5.16937283933583,"CDKN3",1.88395885337897e-25,-0.149228275954736
"3",4.15384774211816,"UBE2C",1.8255028797265e-44,5.53274543324629,"UBE2C",2.00250324601182e-24,-0.199084835497837
"4",-2.81101704085445,"ADAMTS13",1.01385644470122e-43,-2.55645421768906,"ADAMTS13",3.43836736099454e-11,-0.732440921170623
"5",3.67387671653838,"HJURP",1.42026196691631e-43,4.25359684257382,"HJURP",7.85639158741816e-21,0.337961352126848
"6",3.37157120340492,"CDCA8",1.53418658457653e-42,4.37513706252242,"CDCA8",1.61907946370096e-23,-0.0609775753618584
"7",4.06447997567082,"IQGAP3",1.74571556189764e-42,4.64368971866929,"IQGAP3",3.44860114270501e-17,0.41841208274893
"8",3.7533485507393,"KIF2C",2.39419260646359e-42,4.53472498880401,"KIF2C",1.85175975851716e-20,0.193915632607089
"9",3.50852426954995,"KIFC1",3.38890202371166e-42,4.95993947095127,"KIFC1",5.25423575429454e-26,-0.38898543715945
"10",3.67960003796173,"NEK2",5.13384022290282e-42,4.52672160901879,"NEK2",2.14335310219642e-21,0.126530395421374
"11",3.89300293378584,"EXO1",8.92412668590614e-42,5.08576783452034,"EXO1",1.1357979865547e-23,-0.104549576857556
"12",-3.25966808475261,"ACSM3",1.00729745611941e-41,-2.95663323345604,"ACSM3",2.20273802522125e-11,-0.862920213666329
"13",3.85300594467304,"CENPF",1.1171334477514e-41,4.80559178021137,"CENPF",1.46140857537379e-20,0.078214004644924
"14",3.70921771251395,"TROAP",1.15810438964632e-41,5.15142314494092,"TROAP",4.64240228783817e-25,-0.340535598976914
"15",-3.50185386021991,"ANGPTL6",1.15810438964632e-41,-3.83868866687799,"ANGPTL6",9.50631631403446e-13,-0.403807042840732
"16",3.53962447138659,"CDCA5",1.49997431545691e-41,4.34943133226083,"CDCA5",2.04069237318234e-21,0.127513638879272
"17",-3.18304178053559,"ECM1",3.75401859649596e-40,-3.30466143936104,"ECM1",7.98678516295939e-11,-0.509585887670561
"18",3.48705145355786,"KIF18B",5.77343532590296e-40,4.92233960898133,"KIF18B",2.40914626704912e-25,-0.380563597349717
"19",3.26083206483467,"PRC1",6.86714639267078e-40,4.41259812875149,"PRC1",2.19493204900154e-22,-0.201501016911271
"20",3.59327883819333,"FOXM1",6.92639835256224e-40,3.78195203083367,"FOXM1",1.90647439775673e-15,0.632355789417421
"21",3.23171711729006,"CCNB1",1.50845255923265e-39,4.08798711088142,"CCNB1",5.31288142785587e-20,0.0274736704598932
"22",4.01362195581735,"KIF20A",1.87699562305058e-39,5.75803709968205,"KIF20A",4.64240228783817e-25,-0.518434067211841
"23",4.11987109393495,"CDC20",4.88746547814553e-39,4.90898710311975,"CDC20",8.59529019814761e-18,0.262872267287529
"24",-3.10419181964849,"LCAT",5.10700612394025e-39,-3.27073129030256,"LCAT",6.60078396204673e-13,-0.45771289090686
"25",3.5737872112527,"CCNB2",1.35523582656406e-38,4.23282557068306,"CCNB2",1.67472130672563e-18,0.254386535757761
"26",-6.07870500868888,"FCN3",1.45879814828009e-38,-4.89835944498408,"FCN3",1.08771012578424e-08,-2.13814198207314
"27",3.24832917620648,"CDK1",3.81461784771112e-38,4.70438314623722,"CDK1",4.610655873879e-24,-0.445994455739845
"29",3.19696994323202,"AURKB",6.73470267702619e-38,3.80105481929782,"AURKB",8.31387137155999e-17,0.220858772583553
"30",3.26402164411722,"PTTG1",1.68870421768538e-37,4.45181541653028,"PTTG1",3.34646251209345e-21,-0.229492065913081
"31",-2.61499730883433,"FAM13A",2.03115802714152e-37,-3.48972043096794,"FAM13A",3.2126293777899e-16,0.205594093771232
"34",2.6674459894311,"NUSAP1",6.64582545931212e-37,3.28221046080697,"NUSAP1",1.38682042132454e-17,0.103854245694416
"35",-7.39052172966303,"CLEC4G",6.75172995163931e-37,-7.52294357738193,"CLEC4G",1.56461104677125e-09,-1.36322127502991
"36",3.64115840933202,"BUB1B",9.0615445752416e-37,5.05617272293524,"BUB1B",1.33417817208566e-22,-0.332863810828915
"37",3.52479933665154,"NCAPG",1.16854303980502e-36,4.85238521607114,"NCAPG",2.30851684210197e-22,-0.28719682662428
"39",2.57107301447841,"CDCA3",1.95026708985735e-36,3.07470029864601,"CDCA3",1.67883393210544e-16,0.172467112395665
"40",3.25167354769552,"BIRC5",4.44763811359169e-36,3.93602562904366,"BIRC5",6.78246983184055e-17,0.168250655959591
"41",2.4018903741602,"CENPW",7.71374446587688e-36,2.51102453501822,"CENPW",2.94763489035497e-12,0.451448163501495
"42",3.55943169814985,"MKI67",1.22498441086316e-35,4.74457160218399,"MKI67",2.6382013851891e-18,-0.166844712205501
"43",2.92501898209998,"ASF1B",1.39323018976523e-35,3.88631875016679,"ASF1B",3.23372091938998e-19,-0.118883284900812
"44",-2.72300362288407,"KLKB1",1.51306136149354e-35,-2.18039028148665,"KLKB1",3.75178836052909e-07,-0.943425992642512
"45",-3.77567006343228,"CFP",3.47274491545554e-35,-2.88135948276279,"CFP",2.56768325871445e-07,-1.43877036066337
"47",4.06278901822753,"MYBL2",5.13495608424086e-35,5.06388702177694,"MYBL2",9.53341297365408e-17,0.0826333630872492
"48",-3.1346432119492,"AADAT",6.99671345701587e-35,-3.42706203169904,"AADAT",4.89210015598435e-12,-0.363869845397455
"49",3.56941320649637,"E2F1",2.09773222388382e-34,3.97819975310365,"E2F1",1.70623924425837e-13,0.452458784152038
"50",-4.09696704906948,"DNASE1L3",2.09773222388382e-34,-3.1031914709221,"DNASE1L3",3.31579333592808e-07,-1.58369459958255
"51",2.27585050774484,"RACGAP1",2.31287301310058e-34,2.96040823411777,"RACGAP1",6.12005267169716e-18,-0.0318847966563747
"52",3.9755989863229,"TOP2A",3.46939431013591e-34,5.6324928772546,"TOP2A",2.6382013851891e-18,-0.456640145878962
"53",2.65117342107937,"ARHGAP11A",3.67750939047265e-34,3.85941638518266,"ARHGAP11A",1.9664309970349e-22,-0.371339487042963
"56",2.77954479616346,"TCF19",7.67797496654174e-34,3.97350524873904,"TCF19",3.32856227342853e-20,-0.333677149921987
"57",-7.8250161809597,"CLEC1B",7.91022533515095e-34,-6.52542615522613,"CLEC1B",2.13887306973115e-07,-2.59081544609445
"58",2.97991419810442,"HMMR",1.56731075180273e-33,4.15202678254548,"HMMR",1.29848845659725e-20,-0.27524549792872
"60",-2.3778419183018,"RCAN1",1.84952678414564e-33,-2.24293908656831,"RCAN1",4.54963234871574e-09,-0.548533387446127
"61",-8.11834407493299,"CLEC4M",1.89770956353905e-33,-6.80310840877944,"CLEC4M",2.30301074908811e-07,-2.66336552447662
"62",3.38485141421728,"ASPM",3.23331718284347e-33,4.23173453161823,"ASPM",4.834990088068e-16,0.0663181950267151
"63",-7.47438578058156,"FCN2",3.15868880608958e-33,-7.2847076980454,"FCN2",2.85146836711613e-08,-1.63650037268729
"65",-4.47596300877945,"AC004540.2",3.15868880608958e-33,-4.25492096283833,"AC004540.2",4.40434614939621e-08,-1.04698090149721
"68",2.87602942635551,"AURKA",6.77542027098689e-33,3.08423916103029,"AURKA",5.47419486789902e-12,0.469839427077222
"69",-4.84626944508933,"CYP2B6",1.14697056024451e-32,-4.9222160177549,"CYP2B6",2.05746321764013e-10,-0.886738688428062
"70",-2.82987552181546,"ASS1",1.32094765536257e-32,-2.44286598569141,"ASS1",2.55031711765296e-07,-0.841610401183229
"71",-6.12499870395021,"TTC36",1.39238377786782e-32,-6.09386942615345,"TTC36",9.17406887503951e-09,-1.23391731045123
"72",-4.17910481276294,"COX6B1P4",1.80710742343402e-32,-3.66142873815554,"COX6B1P4",7.78216034023651e-08,-1.22199267649642
"73",-7.52681420954294,"GDF2",2.48391304980512e-32,-6.84614346258718,"GDF2",6.35604318600349e-08,-2.03761962600581
"75",2.99649801861963,"RRM2",7.89063753182095e-32,4.38554841259145,"RRM2",6.78514299615079e-19,-0.444328549225065
"76",-3.4220219066182,"PTH1R",9.18012152169929e-32,-4.13333004436661,"PTH1R",1.96705478577895e-10,-0.0897135227460566
"79",-4.83175470306157,"OIT3",1.52703327268444e-31,-2.98206089082334,"OIT3",6.27978539174433e-06,-2.41478997411954
"80",2.87709593057637,"CDT1",1.78261841207982e-31,3.201760699642,"CDT1",2.14619604566128e-12,0.377467664186715
"81",-5.36484054886712,"CXCL14",2.1784629249956e-31,-4.89967174733546,"CXCL14",2.3078967127756e-07,-1.42323414535989
"82",2.57149868549068,"CCNA2",2.59898749277817e-31,4.06823286643699,"CCNA2",5.03170450197358e-24,-0.617038684046878
"83",2.69031784629466,"ZWINT",2.79122678117573e-31,3.4251734489993,"ZWINT",7.04064452906006e-16,0.0130600117668277
"84",-2.0386211291554,"ALDH2",4.92227023339655e-31,-2.45702502558358,"ALDH2",4.91164548232259e-13,-0.0390985303867041
"85",-4.31923230195251,"CYP39A1",4.99420668598793e-31,-4.27055234223163,"CYP39A1",8.17176470049642e-10,-0.87782209833726
"86",-2.93467915077276,"GHR",4.95733901933195e-31,-2.98541718897253,"GHR",1.98186054443935e-09,-0.515045917940513
"88",-3.91063035029631,"BCO2",7.79079044668426e-31,-5.11429226092388,"BCO2",3.75166847903338e-11,0.20161514722849
"92",-4.05713305911508,"VIPR1",9.68810217692756e-31,-4.03558252172464,"VIPR1",1.44222264346198e-08,-0.802541145244842
"93",1.91299068875963,"STMN1",1.22445809163146e-30,2.16141921297861,"STMN1",9.42579904515557e-11,0.240510423206343
"95",1.77135510663178,"UBE2S",1.78979780976761e-30,2.09264091179436,"UBE2S",3.31032449164082e-12,0.153558649284521
"97",3.05666864850254,"EME1",1.94434937107187e-30,3.95627273818821,"EME1",6.75849653454868e-16,-0.0428521842136558
"98",-2.37563299699712,"RDH5",1.87364354125628e-30,-2.8574864626669,"RDH5",1.39904882413202e-10,-0.0577141011068976
"99",-5.0485654221049,"ADH4",2.15231409174216e-30,-4.22890957707663,"ADH4",1.61389558182612e-06,-1.64026427968621
"101",2.46991977336852,"PKMYT1",2.31547770640654e-30,2.63297139203083,"PKMYT1",6.01120342690309e-10,0.422520841979812
"102",-5.7637568337244,"CRHBP",2.55272362551526e-30,-4.56272162870028,"CRHBP",1.99455736795053e-06,-2.09005055780369
"103",-3.24680758621064,"LIFR",2.96165753672335e-30,-2.83640886957547,"LIFR",2.02325173852217e-07,-0.945646927122003
"104",-5.32763598284383,"SMUG1P1",2.51834882864668e-30,-5.28951750991184,"SMUG1P1",8.04412953655778e-09,-1.07607352424955
"108",-1.81355758484087,"BDH2",6.45096611244235e-30,-2.16091934092401,"BDH2",1.72981007581909e-11,-0.0494607844684018
"109",-1.79392620323238,"AGL",6.58563289471475e-30,-2.0478400033883,"AGL",7.54100285136254e-11,-0.119735793384187
"111",-2.50064886432169,"ASPA",1.51250703049427e-29,-2.26723076589845,"ASPA",7.69547002737085e-08,-0.652026661702983
"112",-7.1176603244195,"CYP1A2",1.79540071613811e-29,-7.34685589017471,"CYP1A2",4.26748883205484e-09,-1.23036253267401
"113",-5.74999792864215,"LINC01093",1.8404424779965e-29,-6.85426633080512,"LINC01093",8.37357983210735e-10,-0.254345067420572
"114",1.52256138025262,"CDCA4",1.89593295479828e-29,2.23314355547775,"CDCA4",2.6382013851891e-18,-0.206945013038531
"116",4.01468834793658,"MDK",2.01631505083672e-29,4.10717640462622,"MDK",9.24240796240958e-09,0.795188001173123
"117",2.27190249081153,"PLK1",2.18071474615749e-29,2.75044327050447,"PLK1",1.01429082656332e-13,0.131104775773811
"118",-4.29757532415397,"ADRA1A",3.24766927840492e-29,-3.66107037182298,"ADRA1A",7.51844473655227e-08,-1.3407481154803
"122",-3.91137307901382,"ADH1B",5.05654435430076e-29,-3.17081314664514,"ADH1B",1.02236588498104e-05,-1.34433642363436
"123",-1.87399172914456,"ETFDH",7.69610288895709e-29,-2.01346031098582,"ETFDH",1.78246844276176e-09,-0.227135703442946
"124",2.65864188474734,"CENPI",8.89308991965974e-29,3.47177385689106,"CENPI",1.6087762598226e-15,-0.0556667015960831
"127",-2.79349684184005,"ALB",1.0837086763337e-28,-2.11973968715448,"ALB",4.43552856505879e-05,-1.06214089505004
"130",-3.2068023459699,"PLAC8",1.47795946833542e-28,-2.59117637268879,"PLAC8",9.39899942801817e-06,-1.10061955918596
"131",2.3263626420981,"RECQL4",1.47620099262188e-28,2.7385172747543,"RECQL4",6.29004498175006e-12,0.195046970859648
"133",2.92362338507861,"CENPM",1.71263703217443e-28,3.33145420759304,"CENPM",1.86527960292468e-11,0.320879240683151
"134",-3.55621193013254,"DIRAS3",2.46545551438813e-28,-4.81637599721953,"DIRAS3",6.61932708799792e-12,0.319168225484171
"135",1.9559961537678,"CDKN2C",2.55566544704013e-28,2.4051991591257,"CDKN2C",3.86372075612137e-12,0.0896929005854469
"138",-3.11419306709226,"GLYATL1",3.06214359870215e-28,-2.64292120601783,"GLYATL1",2.33940309265575e-06,-0.966869331888583
"139",-1.6835427481358,"BCKDHB",4.27441029499992e-28,-2.04819276398745,"BCKDHB",4.95063154306549e-11,-0.00907186766512239
"141",2.78154110190565,"PLVAP",4.82667494195095e-28,3.79711270022043,"PLVAP",7.00282640040572e-13,-0.191435794126528
"142",-1.87479452072847,"GNE",6.60597170485093e-28,-2.22679004737406,"GNE",8.22253676093787e-11,-0.0583256638223504
"143",2.61223189023789,"TEDC2",8.48197768960924e-28,2.92390590569659,"TEDC2",9.2366271774535e-10,0.333518621741719
"144",2.35996663628051,"RAD51AP1",8.82113216199265e-28,3.15461941379266,"RAD51AP1",2.00800635138648e-15,-0.102180840534756
"146",-3.55814295137118,"NPY1R",1.20015086953448e-27,-3.41163038900421,"NPY1R",1.02390449346146e-06,-0.799638875786181
"148",2.83067910245184,"CDC6",1.89392911850311e-27,3.72250657079047,"CDC6",1.12364245738094e-14,-0.0829804332719936
"150",-2.63346739973665,"ALDH8A1",2.11187792824757e-27,-2.22875294582134,"ALDH8A1",5.56230298771379e-06,-0.815437894190323
"152",-4.44366644354104,"IGFALS",2.78208851797262e-27,-4.39235522933934,"IGFALS",4.34175356279053e-09,-0.905413985859421
"153",3.19550140170444,"OLFML2B",3.10100307174916e-27,3.44065726582347,"OLFML2B",2.29938898264949e-09,0.505932793939538
"155",2.22240812856177,"PIF1",6.12818131728007e-27,2.93866296126957,"PIF1",7.2799996269721e-14,-0.0680380845222109
"156",-2.20728600971475,"ACSL1",6.0860954262879e-27,-2.48013316230126,"ACSL1",1.43080152016102e-09,-0.189390742611559
"157",1.49798557860658,"MCM3",5.39695655649138e-27,2.03864301907004,"MCM3",9.89544787090445e-13,-0.0768785823852335
"158",-1.80475213562435,"TUBE1",5.5047690403398e-27,-2.19584542221706,"TUBE1",5.06878828803734e-10,-0.0128865317494396
"160",1.63755267750888,"FEN1",7.75891699571717e-27,2.07519401116492,"FEN1",8.3193304020624e-13,0.033627789412133
"161",-4.37565437317292,"HAO2",7.83559160679146e-27,-4.25295789030519,"HAO2",2.57777920866338e-07,-0.948233052941954
"163",-4.30133977059667,"APOF",7.97790069481536e-27,-3.94284562296243,"APOF",3.92615535444304e-07,-1.12048051220376
"164",-3.59548968773737,"KBTBD11",9.01258758062328e-27,-4.36711161094278,"KBTBD11",1.08188516816637e-08,-0.0773077633933751
"168",-3.56713747974839,"MT2A",1.23608506765392e-26,-4.01946766981947,"MT2A",1.42783345391205e-10,-0.325358058418353
"171",-2.31909155596287,"ALDH6A1",1.49070298288159e-26,-2.23596979805341,"ALDH6A1",4.39489244011915e-07,-0.495324122079922
"173",-5.24799981048591,"MT1F",1.98801741232216e-26,-5.00259046567558,"MT1F",7.11096525853847e-07,-1.22456545604624
"175",-4.61732699271391,"SRD5A2",2.32258973912333e-26,-4.83902322865538,"SRD5A2",3.30763692364145e-07,-0.723940622362148
"177",-1.81221291914558,"GCH1",3.74552071751502e-26,-2.21322293327767,"GCH1",1.44691720127969e-10,-0.00653091583110136
"183",-4.30391973501745,"MT1X",6.23807946247015e-26,-4.5199010348923,"MT1X",7.91002468752966e-08,-0.664258980703776
"185",5.33916741595531,"ZIC2",7.76265214865815e-26,7.1004926395505,"ZIC2",1.42191819002252e-15,-0.260239501226176
"186",-4.62448773389142,"MT1E",7.43057298006507e-26,-4.90797132292299,"MT1E",7.78216034023651e-08,-0.676282557343781
"188",2.5864107307711,"CCNE1",9.34953551546355e-26,2.90099553037104,"CCNE1",2.09916691370436e-09,0.325912895756984
"192",-2.50749589242069,"ADH6",9.50030927055622e-26,-2.16201851128339,"ADH6",1.15005966016092e-05,-0.742525170766609
"193",-4.1732715297579,"GBA3",9.93096465405788e-26,-4.04557022929425,"GBA3",1.77797691564347e-07,-0.910738653756433
"195",-2.43700646106402,"HPX",1.27453183928674e-25,-2.17834945529045,"HPX",4.10834606420803e-06,-0.659051437754784
"199",-6.03289220639233,"MT1G",1.5421026916773e-25,-7.01229723603066,"MT1G",1.44490685155081e-07,-0.411593152066506
"200",-3.84955087253832,"AC010280.2",1.60770565491654e-25,-6.19306913360967,"AC010280.2",2.43338768114972e-13,1.12040158470064
"201",-2.00795670512562,"ABCC9",1.6096101715076e-25,-2.25501386828133,"ABCC9",7.83747646346513e-09,-0.169047834686746
"204",-2.74754077080131,"FBP1",3.62987914781751e-25,-2.18560496482344,"FBP1",4.76226050957871e-05,-0.963817083757909
"205",-4.90392958404064,"NAT2",4.17174160069573e-25,-6.36502247543401,"NAT2",1.13479032297928e-08,0.202738427418211
"206",-4.3220880783572,"AC092384.2",4.25815432183299e-25,-4.75896903563473,"AC092384.2",1.12160052287528e-07,-0.492350679583003
"210",-1.71006825227859,"GRHPR",4.86897131756844e-25,-2.02492841211581,"GRHPR",9.42775707086573e-10,-0.0540942426797041
"214",-1.96601710086517,"C1R",8.88317626823137e-25,-2.21573161611138,"C1R",3.59362884545543e-09,-0.158340510179874
"216",-3.71270876338455,"AKR1D1",8.77794167294386e-25,-3.48792284920826,"AKR1D1",6.86153514679575e-07,-0.893546570493222
"219",-3.60189631695268,"BHMT",9.93167618299748e-25,-2.17512186385303,"BHMT",0.00559280445709326,-1.8265074662312
"222",-3.30463026312814,"UGT2B7",1.09739122060182e-24,-3.71616000170059,"UGT2B7",3.07410747110421e-09,-0.304002746762983
"223",-3.16243792457833,"AL161668.4",1.36962554441994e-24,-2.88064187360804,"AL161668.4",2.07230878146219e-06,-0.82610877386886
"224",-5.99250981921878,"CYP3A4",1.36962554441994e-24,-6.49068857844894,"CYP3A4",4.49580401145607e-09,-0.785928012901021
"225",-1.85928504854422,"AC138356.1",1.55467954404609e-24,-2.36611424781025,"AC138356.1",3.90012276070797e-10,0.0679567952477022
"226",-3.71751782548735,"PLGLA",1.7666552321494e-24,-3.69007441454418,"PLGLA",8.23036747528765e-07,-0.737630269552175
"227",-3.55164267694117,"GLYAT",1.48542470190967e-24,-3.81060291201861,"GLYAT",5.27720275237506e-08,-0.475926100431673
"231",-3.02729744314731,"CYP4A11",1.77034349379974e-24,-2.94859900053695,"CYP4A11",6.9592727409566e-07,-0.636937378163613
"234",-2.30909737982311,"F11",1.92761212078105e-24,-2.34266530146832,"F11",3.04532998920954e-07,-0.400499173084107
"237",2.41226644451358,"EFNA3",3.03545752834179e-24,2.08903895842442,"EFNA3",2.41212500842276e-05,0.797333805025404
"238",-3.09249370754763,"CCL14",2.74944067559363e-24,-2.79078790806391,"CCL14",1.1029412806595e-05,-0.827605068362328
"239",-2.19622549917325,"AC008556.1",3.11526950040573e-24,-2.01445371233493,"AC008556.1",1.02588081623144e-05,-0.548579646332684
"241",-1.94995618195436,"ZFP1",3.11526950040573e-24,-2.32311277918676,"ZFP1",1.53038043996494e-08,-0.0569036685514663
"242",-1.70002353962668,"ACADS",2.80476035305938e-24,-2.19904084199065,"ACADS",9.42579904515557e-11,0.0943826579969575
"245",-3.25328046896804,"ADH1A",3.32530629462954e-24,-2.65891495501813,"ADH1A",7.87880852420816e-05,-1.09324052694087
"247",-3.22331191245078,"AC020908.3",3.76602233191551e-24,-3.45411821431251,"AC020908.3",1.33980335487806e-07,-0.431026890691693
"252",-1.77473730952744,"ST3GAL6",4.10892101777842e-24,-2.52002963634271,"ST3GAL6",5.59487531629085e-11,0.274878588894267
"255",1.59461599696122,"MTBP",5.50590693273324e-24,2.01823905081754,"MTBP",7.911904459391e-12,0.035974491477756
"256",-2.52819584107954,"C8A",5.21351474950721e-24,-3.07297887689501,"C8A",3.31390971382659e-10,-0.038944626033371
"262",-2.15833201445903,"CD1D",7.39638684926913e-24,-2.75930073233108,"CD1D",4.49580401145607e-09,0.0815220040817322
"263",-3.29898171400243,"TPPP2",8.20190108595486e-24,-3.86029240699625,"TPPP2",5.56064444159976e-08,-0.1837583342363
"265",2.08244727590004,"PAQR4",9.21475650925546e-24,2.27579006956191,"PAQR4",1.07914165960355e-07,0.319033767186156
"266",-2.3420404855353,"GSTZ1",7.63541740762417e-24,-2.7411435464205,"GSTZ1",2.84330563368367e-08,-0.116622765286283
"267",-4.275554895473,"GPR182",1.07092414540802e-23,-3.36864989256598,"GPR182",0.000121008197796958,-1.55122347584721
"268",-3.28408680815356,"UGT2B10",9.76238377394263e-24,-3.70137296296614,"UGT2B10",8.87655073895208e-09,-0.295216075194896
